video_name,frame_idx,label,motion_score,timestamp
Normal_Videos_015_x264,0,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,1,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,2,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,3,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,4,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,5,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,6,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,7,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,8,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,9,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,10,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,11,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,12,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,13,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,14,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,15,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,16,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,17,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,18,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,19,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,20,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,21,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,22,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,23,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,24,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,25,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,26,Calibrating,0.0,2026-03-03 12:23:54
Normal_Videos_015_x264,27,Calibrating,0.0,2026-03-03 12:23:55
Normal_Videos_015_x264,28,Calibrating,0.0,2026-03-03 12:23:55
Normal_Videos_015_x264,29,Calibrating,0.0,2026-03-03 12:23:55
Normal_Videos_015_x264,30,Normal,0.1178,2026-03-03 12:23:55
Normal_Videos_015_x264,31,Normal,0.104,2026-03-03 12:23:55
Normal_Videos_015_x264,32,Normal,0.0926,2026-03-03 12:23:55
Normal_Videos_015_x264,33,Normal,0.0983,2026-03-03 12:23:55
Normal_Videos_015_x264,34,Normal,0.104,2026-03-03 12:23:55
